Wavelength(nm),PHATh
689.976,0.522
690.313,0.513
690.649,0.505
690.985,0.497
691.322,0.489
691.658,0.481
691.994,0.474
692.33,0.466
692.666,0.459
693.002,0.451
693.338,0.444
693.674,0.437
694.01,0.43
694.346,0.423
694.682,0.416
695.018,0.41
695.353,0.403
695.689,0.397
696.025,0.391
696.36,0.385
696.696,0.378
697.031,0.372
697.366,0.367
697.702,0.361
698.037,0.356
698.372,0.35
698.708,0.344
699.043,0.339
699.378,0.334
699.713,0.329
700.048,0.324
700.383,0.319
700.718,0.314
701.053,0.31
701.388,0.305
701.722,0.301
702.057,0.296
702.392,0.292
702.726,0.288
703.061,0.284
703.395,0.28
703.73,0.276
704.064,0.272
704.399,0.268
704.733,0.265
705.067,0.261
705.402,0.258
705.736,0.254
706.07,0.251
706.404,0.248
706.738,0.245
707.072,0.242
707.406,0.239
707.74,0.236
708.074,0.233
708.408,0.231
708.741,0.228
709.075,0.225
709.409,0.223
709.742,0.22
710.076,0.218
710.409,0.215
710.743,0.213
711.076,0.211
711.409,0.208
711.743,0.206
712.076,0.204
712.409,0.202
712.742,0.2
713.075,0.198
713.409,0.196
713.742,0.194
714.075,0.192
714.407,0.19
714.74,0.188
715.073,0.187
715.406,0.185
715.739,0.184
716.071,0.182
716.404,0.181
716.736,0.179
717.069,0.178
717.401,0.176
717.734,0.175
718.066,0.174
718.399,0.173
718.731,0.171
719.063,0.17
719.395,0.169
719.727,0.167
720.059,0.166
720.391,0.165
720.723,0.164
721.055,0.163
721.387,0.162
721.719,0.161
722.051,0.16
722.383,0.159
722.714,0.159
723.046,0.158
723.377,0.157
723.709,0.156
724.04,0.156
724.372,0.155
724.703,0.154
725.035,0.153
725.366,0.153
725.697,0.152
726.028,0.151
726.359,0.15
726.691,0.15
727.022,0.149
727.353,0.149
727.683,0.148
728.014,0.147
728.345,0.147
728.676,0.147
729.007,0.146
729.337,0.146
729.668,0.145
729.999,0.145
730.329,0.144
730.66,0.144
730.99,0.144
731.321,0.143
731.651,0.143
731.981,0.142
732.311,0.142
732.642,0.142
732.972,0.141
733.302,0.141
733.632,0.141
733.962,0.141
734.292,0.14
734.622,0.14
734.952,0.139
735.281,0.139
735.611,0.139
735.941,0.138
736.271,0.138
736.6,0.138
736.93,0.138
737.259,0.138
737.589,0.137
737.918,0.137
738.247,0.137
738.577,0.137
738.906,0.136
739.235,0.136
739.564,0.136
739.893,0.136
740.222,0.136
740.551,0.135
740.88,0.135
741.209,0.135
741.538,0.135
741.867,0.135
742.196,0.134
742.524,0.134
742.853,0.134
743.182,0.133
743.51,0.133
743.839,0.133
744.167,0.133
744.496,0.133
744.824,0.132
745.152,0.132
745.481,0.131
745.809,0.131
746.137,0.131
746.465,0.131
746.793,0.13
747.121,0.13
747.449,0.13
747.777,0.13
748.105,0.13
748.433,0.13
748.76,0.13
749.088,0.13
749.416,0.13
749.743,0.129
750.071,0.129
750.399,0.129
750.726,0.129
751.053,0.129
751.381,0.128
751.708,0.128
752.035,0.128
752.363,0.128
752.69,0.128
753.017,0.128
753.344,0.128
753.671,0.128
753.998,0.128
754.325,0.128
754.652,0.127
754.978,0.127
755.305,0.127
755.632,0.127
755.959,0.128
756.285,0.128
756.612,0.128
756.938,0.129
757.265,0.129
757.591,0.129
757.917,0.129
758.244,0.129
758.57,0.129
758.896,0.13
759.222,0.13
759.549,0.13
759.875,0.13
760.201,0.13
760.527,0.13
760.852,0.13
761.178,0.13
761.504,0.13
761.83,0.129
762.156,0.129
762.481,0.129
762.807,0.129
763.132,0.13
763.458,0.13
763.783,0.13
764.109,0.13
764.434,0.13
764.76,0.13
765.085,0.13
765.41,0.13
765.735,0.13
766.06,0.13
766.385,0.13
766.71,0.13
767.035,0.13
767.36,0.13
767.685,0.13
768.01,0.13
768.335,0.131
768.659,0.13
768.984,0.13
769.309,0.13
769.633,0.13
769.958,0.13
770.282,0.13
770.606,0.13
770.931,0.13
771.255,0.13
771.579,0.13
771.904,0.13
772.228,0.13
772.552,0.13
772.876,0.129
773.2,0.129
773.524,0.129
773.848,0.129
774.172,0.129
774.495,0.13
774.819,0.13
775.143,0.13
775.467,0.13
775.79,0.13
776.114,0.13
776.437,0.13
776.761,0.129
777.084,0.13
777.407,0.129
777.731,0.129
778.054,0.129
778.377,0.129
778.7,0.129
779.023,0.129
779.346,0.129
779.669,0.129
779.992,0.129
780.315,0.13
780.638,0.13
780.961,0.13
781.284,0.13
781.606,0.13
781.929,0.13
782.251,0.13
782.574,0.13
782.896,0.13
783.219,0.13
783.541,0.13
783.864,0.13
784.186,0.13
784.508,0.13
784.83,0.13
785.152,0.13
785.475,0.13
785.797,0.13
786.119,0.13
786.44,0.13
786.762,0.13
787.084,0.131
787.406,0.131
787.728,0.13
788.049,0.13
788.371,0.13
788.693,0.13
789.014,0.13
789.336,0.13
789.657,0.13
789.978,0.13
790.3,0.131
790.621,0.131
790.942,0.131
791.263,0.131
791.584,0.131
791.906,0.131
792.227,0.132
792.547,0.132
792.868,0.132
793.189,0.132
793.51,0.132
793.831,0.132
794.152,0.131
794.472,0.131
794.793,0.131
795.113,0.131
795.434,0.131
795.754,0.132
796.075,0.132
796.395,0.132
796.715,0.132
797.036,0.132
797.356,0.131
797.676,0.131
797.996,0.131
798.316,0.131
798.636,0.131
798.956,0.131
799.276,0.131
799.596,0.131
799.916,0.13
800.235,0.13
800.555,0.13
800.875,0.13
801.194,0.13
801.514,0.13
801.833,0.13
802.153,0.13
802.472,0.13
802.791,0.13
803.111,0.13
803.43,0.13
803.749,0.13
804.068,0.13
804.387,0.13
804.706,0.13
805.025,0.13
805.344,0.13
805.663,0.13
805.982,0.13
806.301,0.13
806.62,0.13
806.938,0.13
807.257,0.13
807.575,0.131
807.894,0.131
808.212,0.131
808.531,0.131
808.849,0.131
809.167,0.131
809.486,0.131
809.804,0.131
810.122,0.131
810.44,0.131
810.758,0.132
811.076,0.132
811.394,0.132
811.712,0.132
812.03,0.133
812.348,0.133
812.666,0.133
812.983,0.133
813.301,0.133
813.618,0.134
813.936,0.134
814.253,0.134
814.571,0.134
814.888,0.134
815.206,0.134
815.523,0.134
815.84,0.134
816.157,0.134
816.475,0.134
816.792,0.134
817.109,0.135
817.426,0.135
817.743,0.135
818.059,0.135
818.376,0.135
818.693,0.135
819.01,0.135
819.326,0.135
819.643,0.135
819.96,0.135
820.276,0.135
