Wavelength(nm),PHAN
800.555,0.353
800.875,0.351
801.194,0.35
801.514,0.349
801.833,0.347
802.153,0.346
802.472,0.344
802.791,0.343
803.111,0.341
803.43,0.34
803.749,0.338
804.068,0.336
804.387,0.335
804.706,0.333
805.025,0.331
805.344,0.33
805.663,0.329
805.982,0.328
806.301,0.326
806.62,0.325
806.938,0.324
807.257,0.323
807.575,0.322
807.894,0.321
808.212,0.32
808.531,0.319
808.849,0.318
809.167,0.317
809.486,0.315
809.804,0.314
810.122,0.314
810.44,0.313
810.758,0.312
811.076,0.311
811.394,0.31
811.712,0.308
812.03,0.307
812.348,0.305
812.666,0.304
812.983,0.303
813.301,0.302
813.618,0.301
813.936,0.3
814.253,0.3
814.571,0.299
814.888,0.298
815.206,0.297
815.523,0.296
815.84,0.295
816.157,0.295
816.475,0.294
816.792,0.294
817.109,0.293
817.426,0.293
817.743,0.292
818.059,0.292
818.376,0.291
818.693,0.291
819.01,0.29
819.326,0.289
819.643,0.288
819.96,0.288
820.276,0.287
820.593,0.287
820.909,0.286
821.225,0.286
821.542,0.285
821.858,0.284
822.174,0.284
822.49,0.284
822.806,0.283
823.122,0.282
823.438,0.282
823.754,0.281
824.07,0.28
824.386,0.279
824.702,0.279
825.018,0.279
825.333,0.279
825.649,0.278
825.965,0.278
826.28,0.278
826.596,0.277
826.911,0.276
827.226,0.276
827.542,0.275
827.857,0.274
828.172,0.274
828.487,0.273
828.803,0.272
829.118,0.272
829.433,0.271
829.748,0.271
830.063,0.27
830.377,0.269
830.692,0.268
831.007,0.268
831.322,0.268
831.636,0.268
831.951,0.267
832.266,0.267
832.58,0.267
832.895,0.266
833.209,0.266
833.523,0.266
833.838,0.266
834.152,0.265
834.466,0.265
834.78,0.265
835.094,0.265
835.408,0.265
835.722,0.264
836.036,0.264
836.35,0.263
836.664,0.263
836.978,0.263
837.291,0.262
837.605,0.262
837.919,0.262
838.232,0.261
838.546,0.261
838.859,0.261
839.173,0.261
839.486,0.261
839.799,0.261
840.113,0.261
840.426,0.261
840.739,0.261
841.052,0.261
841.365,0.261
841.678,0.261
841.991,0.261
842.304,0.261
842.617,0.261
842.93,0.261
843.243,0.261
843.555,0.261
843.868,0.26
844.18,0.26
844.493,0.26
844.805,0.26
845.118,0.26
845.43,0.26
845.743,0.26
846.055,0.26
846.367,0.26
846.679,0.26
846.991,0.259
847.303,0.259
847.615,0.259
847.927,0.259
848.239,0.259
848.551,0.26
848.863,0.26
849.175,0.26
849.486,0.26
849.798,0.26
850.11,0.26
850.421,0.26
850.733,0.261
851.044,0.261
851.356,0.261
851.667,0.261
851.978,0.261
852.289,0.261
852.601,0.26
852.912,0.26
853.223,0.26
853.534,0.26
853.845,0.26
854.156,0.26
854.467,0.26
854.777,0.26
855.088,0.26
855.399,0.26
855.71,0.26
856.02,0.26
856.331,0.26
856.641,0.26
856.952,0.259
857.262,0.259
857.573,0.259
857.883,0.259
858.193,0.258
858.503,0.258
858.813,0.257
859.123,0.256
859.434,0.256
859.743,0.256
860.053,0.255
860.363,0.255
860.673,0.255
860.983,0.255
861.293,0.255
861.602,0.255
861.912,0.255
862.221,0.255
862.531,0.254
862.84,0.254
863.15,0.254
863.459,0.254
863.769,0.254
864.078,0.254
864.387,0.253
864.696,0.253
865.005,0.253
865.314,0.253
865.623,0.254
865.932,0.253
866.241,0.253
866.55,0.254
866.859,0.254
867.167,0.254
867.476,0.254
867.785,0.254
868.093,0.254
868.402,0.254
868.71,0.254
869.019,0.254
869.327,0.255
869.635,0.255
869.944,0.255
870.252,0.255
870.56,0.256
870.868,0.256
871.176,0.257
871.484,0.257
871.792,0.258
872.1,0.258
872.408,0.258
872.715,0.258
873.023,0.259
873.331,0.259
873.638,0.259
873.946,0.259
874.254,0.259
874.561,0.259
874.868,0.259
875.176,0.26
875.483,0.26
875.79,0.26
876.098,0.26
876.405,0.26
876.712,0.26
877.019,0.261
877.326,0.261
877.633,0.261
877.94,0.261
878.246,0.261
878.553,0.261
878.86,0.261
879.167,0.261
879.473,0.261
879.78,0.261
880.086,0.261
880.393,0.261
880.699,0.262
881.006,0.262
881.312,0.262
881.618,0.262
881.924,0.261
882.23,0.261
