Wavelength(nm),PHAT
877.019,0.11
877.326,0.11
877.633,0.111
877.94,0.111
878.246,0.111
878.553,0.111
878.86,0.111
879.167,0.111
879.473,0.111
879.78,0.111
880.086,0.111
880.393,0.111
880.699,0.112
881.006,0.112
881.312,0.112
881.618,0.112
881.924,0.111
882.23,0.111
882.537,0.112
882.843,0.112
883.149,0.112
883.455,0.112
883.76,0.112
884.066,0.113
884.372,0.113
884.678,0.114
884.983,0.114
885.289,0.114
885.595,0.115
885.9,0.115
886.206,0.115
886.511,0.115
886.816,0.115
887.122,0.115
887.427,0.116
887.732,0.116
888.037,0.116
888.342,0.116
888.647,0.116
888.952,0.116
889.257,0.116
889.562,0.117
889.867,0.117
890.172,0.117
890.476,0.117
890.781,0.117
891.086,0.117
891.39,0.117
891.695,0.118
891.999,0.118
892.304,0.118
892.608,0.118
892.912,0.118
893.217,0.118
893.521,0.118
893.825,0.118
894.129,0.118
894.433,0.118
894.737,0.119
895.041,0.119
895.345,0.119
895.649,0.119
895.952,0.119
896.256,0.119
896.56,0.119
896.863,0.119
897.167,0.118
897.47,0.119
897.774,0.118
898.077,0.118
898.38,0.118
898.684,0.119
898.987,0.119
899.29,0.119
899.593,0.119
899.896,0.118
900.199,0.118
900.502,0.118
900.805,0.119
901.108,0.118
901.411,0.118
901.714,0.118
902.016,0.118
902.319,0.119
902.622,0.119
902.924,0.119
903.227,0.12
903.529,0.12
903.831,0.12
904.134,0.121
904.436,0.121
904.738,0.121
905.04,0.121
905.343,0.122
905.645,0.123
905.947,0.123
906.249,0.123
906.55,0.123
906.852,0.123
907.154,0.123
907.456,0.124
907.758,0.124
908.059,0.124
908.361,0.124
908.662,0.124
908.964,0.124
909.265,0.124
909.567,0.124
909.868,0.124
910.169,0.124
910.47,0.125
910.771,0.125
911.073,0.125
911.374,0.126
911.675,0.126
911.975,0.127
912.276,0.127
912.577,0.127
912.878,0.127
913.179,0.127
913.479,0.128
913.78,0.128
914.081,0.129
914.381,0.129
914.682,0.128
914.982,0.128
915.282,0.128
915.583,0.128
915.883,0.128
916.183,0.127
916.483,0.127
916.783,0.126
917.083,0.125
917.383,0.125
917.683,0.124
917.983,0.124
918.283,0.124
918.583,0.124
918.882,0.125
919.182,0.125
919.482,0.125
919.781,0.126
920.081,0.126
920.38,0.126
920.679,0.126
920.979,0.127
921.278,0.128
921.577,0.128
921.876,0.128
922.175,0.128
922.475,0.128
922.774,0.128
923.073,0.128
923.371,0.128
923.67,0.128
923.969,0.128
924.268,0.129
924.566,0.129
924.865,0.13
925.164,0.13
925.462,0.13
925.761,0.13
926.059,0.13
926.357,0.131
926.656,0.131
926.954,0.131
927.252,0.131
927.55,0.132
927.848,0.132
928.146,0.133
928.444,0.133
928.742,0.134
929.04,0.135
929.338,0.136
929.636,0.136
929.934,0.137
930.231,0.137
930.529,0.138
930.826,0.138
931.124,0.138
931.421,0.138
931.719,0.138
932.016,0.138
932.313,0.138
932.611,0.138
932.908,0.138
933.205,0.138
933.502,0.138
933.799,0.138
934.096,0.139
