Wavelength(nm),PHAT,PHAN,PHATh
564.34,0.382,0.301,1.034
564.693,0.373,0.303,1.04
565.047,0.364,0.304,1.046
565.401,0.355,0.306,1.052
565.754,0.347,0.308,1.058
566.108,0.339,0.31,1.064
566.461,0.331,0.312,1.07
566.815,0.324,0.313,1.075
567.168,0.316,0.315,1.081
567.521,0.31,0.317,1.087
567.874,0.303,0.319,1.093
568.228,0.296,0.32,1.098
568.581,0.29,0.322,1.104
568.934,0.284,0.324,1.11
569.287,0.278,0.326,1.116
569.64,0.272,0.328,1.122
569.993,0.267,0.33,1.127
570.346,0.262,0.331,1.133
570.699,0.257,0.333,1.139
571.052,0.252,0.335,1.144
571.405,0.247,0.337,1.15
571.757,0.243,0.338,1.155
572.11,0.239,0.34,1.161
572.463,0.234,0.342,1.167
572.815,0.23,0.343,1.172
573.168,0.227,0.345,1.178
573.52,0.223,0.347,1.184
573.873,0.219,0.348,1.189
574.225,0.216,0.35,1.195
574.578,0.213,0.352,1.2
574.93,0.209,0.354,1.206
575.282,0.206,0.355,1.211
575.635,0.203,0.357,1.217
575.987,0.201,0.359,1.222
576.339,0.198,0.361,1.228
576.691,0.195,0.363,1.233
577.043,0.192,0.364,1.239
577.395,0.19,0.366,1.244
577.747,0.188,0.368,1.25
578.099,0.185,0.37,1.255
578.451,0.183,0.372,1.26
578.803,0.181,0.373,1.265
579.154,0.179,0.375,1.271
579.506,0.177,0.377,1.276
579.858,0.175,0.38,1.281
580.209,0.173,0.382,1.287
580.561,0.171,0.384,1.292
580.913,0.17,0.386,1.297
581.264,0.168,0.388,1.303
581.616,0.166,0.391,1.308
581.967,0.165,0.393,1.313
582.318,0.163,0.396,1.319
582.67,0.162,0.398,1.324
583.021,0.16,0.4,1.329
583.372,0.159,0.403,1.334
583.723,0.157,0.406,1.339
584.074,0.156,0.408,1.344
584.426,0.155,0.411,1.35
584.777,0.154,0.414,1.355
585.128,0.153,0.417,1.36
585.479,0.151,0.42,1.365
585.829,0.15,0.423,1.37
586.18,0.149,0.427,1.375
586.531,0.148,0.43,1.38
586.882,0.147,0.433,1.385
587.233,0.146,0.437,1.39
587.583,0.145,0.44,1.395
587.934,0.144,0.444,1.4
588.284,0.143,0.448,1.405
588.635,0.142,0.452,1.41
588.985,0.141,0.456,1.415
589.336,0.14,0.46,1.42
589.686,0.139,0.464,1.425
590.037,0.138,0.468,1.43
590.387,0.138,0.473,1.434
590.737,0.137,0.477,1.439
591.087,0.136,0.482,1.444
591.437,0.135,0.487,1.448
591.788,0.135,0.492,1.453
592.138,0.134,0.497,1.457
592.488,0.133,0.502,1.462
592.838,0.133,0.508,1.467
593.188,0.132,0.513,1.471
593.537,0.132,0.519,1.475
593.887,0.131,0.524,1.48
594.237,0.131,0.53,1.484
594.587,0.13,0.536,1.488
594.936,0.129,0.542,1.492
595.286,0.129,0.548,1.496
595.636,0.129,0.554,1.5
595.985,0.128,0.56,1.504
596.335,0.128,0.567,1.508
596.684,0.127,0.573,1.512
597.034,0.127,0.58,1.516
597.383,0.126,0.587,1.519
597.732,0.126,0.594,1.523
598.081,0.125,0.601,1.527
598.431,0.125,0.608,1.53
598.78,0.124,0.615,1.533
599.129,0.124,0.622,1.537
599.478,0.124,0.63,1.54
599.827,0.123,0.637,1.543
600.176,0.123,0.644,1.546
600.525,0.123,0.652,1.549
600.874,0.122,0.659,1.552
601.223,0.122,0.667,1.555
601.572,0.122,0.675,1.558
601.92,0.121,0.682,1.561
602.269,0.121,0.69,1.564
602.618,0.121,0.698,1.567
602.966,0.121,0.705,1.569
603.315,0.12,0.713,1.571
603.663,0.12,0.721,1.573
604.012,0.12,0.729,1.575
604.36,0.12,0.736,1.577
604.709,0.119,0.744,1.58
605.057,0.119,0.751,1.582
605.405,0.119,0.759,1.584
605.753,0.118,0.766,1.586
606.102,0.118,0.774,1.588
606.45,0.118,0.781,1.59
606.798,0.118,0.788,1.591
607.146,0.118,0.795,1.593
607.494,0.117,0.802,1.595
607.842,0.117,0.809,1.596
608.19,0.117,0.816,1.597
608.538,0.117,0.822,1.598
608.885,0.117,0.829,1.6
609.233,0.116,0.835,1.601
609.581,0.116,0.841,1.602
609.929,0.116,0.847,1.603
610.276,0.116,0.853,1.604
610.624,0.115,0.859,1.605
610.971,0.115,0.864,1.606
611.319,0.115,0.87,1.606
611.666,0.115,0.875,1.607
612.014,0.115,0.879,1.607
612.361,0.114,0.884,1.608
612.708,0.114,0.889,1.608
613.056,0.114,0.893,1.608
613.403,0.114,0.897,1.609
613.75,0.114,0.901,1.609
614.097,0.114,0.905,1.609
614.444,0.113,0.908,1.609
614.791,0.113,0.912,1.609
615.138,0.113,0.915,1.609
615.485,0.113,0.917,1.609
615.832,0.113,0.92,1.608
616.179,0.113,0.923,1.608
616.525,0.112,0.925,1.608
616.872,0.112,0.927,1.607
617.219,0.112,0.929,1.607
617.566,0.112,0.931,1.606
617.912,0.112,0.933,1.606
618.259,0.112,0.934,1.605
618.605,0.112,0.936,1.605
618.952,0.112,0.937,1.604
619.298,0.112,0.938,1.603
619.644,0.112,0.939,1.603
619.991,0.112,0.94,1.602
620.337,0.111,0.941,1.601
620.683,0.111,0.942,1.6
621.029,0.111,0.943,1.599
621.375,0.111,0.944,1.599
621.721,0.111,0.944,1.598
622.067,0.111,0.944,1.597
622.413,0.11,0.944,1.596
622.759,0.11,0.945,1.595
623.105,0.11,0.945,1.594
623.451,0.11,0.945,1.593
623.797,0.11,0.945,1.593
624.143,0.109,0.945,1.592
624.488,0.109,0.945,1.591
624.834,0.109,0.945,1.59
625.18,0.109,0.944,1.589
625.525,0.109,0.944,1.588
625.871,0.109,0.944,1.587
626.216,0.109,0.944,1.586
626.561,0.109,0.943,1.585
626.907,0.109,0.943,1.584
627.252,0.109,0.943,1.583
627.597,0.109,0.943,1.582
627.943,0.109,0.943,1.581
628.288,0.109,0.943,1.58
628.633,0.109,0.943,1.579
628.978,0.109,0.943,1.579
629.323,0.109,0.943,1.578
629.668,0.108,0.943,1.577
630.013,0.108,0.944,1.576
630.358,0.108,0.944,1.576
630.703,0.108,0.944,1.575
631.047,0.108,0.945,1.574
631.392,0.108,0.945,1.573
631.737,0.108,0.946,1.573
632.082,0.108,0.947,1.572
632.426,0.108,0.948,1.571
632.771,0.107,0.948,1.57
633.115,0.107,0.949,1.569
633.46,0.107,0.95,1.569
633.804,0.107,0.951,1.568
634.148,0.107,0.952,1.567
634.493,0.107,0.954,1.567
634.837,0.107,0.955,1.566
635.181,0.107,0.957,1.565
635.525,0.107,0.959,1.565
635.87,0.107,0.961,1.564
636.214,0.107,0.963,1.564
636.558,0.107,0.965,1.563
636.902,0.107,0.968,1.563
637.246,0.107,0.971,1.562
637.589,0.107,0.974,1.562
637.933,0.107,0.977,1.561
638.277,0.107,0.98,1.56
638.621,0.107,0.984,1.56
638.965,0.107,0.987,1.559
639.308,0.107,0.991,1.559
639.652,0.107,0.996,1.558
639.995,0.107,1,1.558
640.339,0.107,1.005,1.557
640.682,0.107,1.01,1.557
641.026,0.107,1.015,1.556
641.369,0.107,1.02,1.556
641.712,0.107,1.026,1.556
642.056,0.107,1.032,1.555
642.399,0.107,1.038,1.555
642.742,0.107,1.044,1.554
643.085,0.107,1.051,1.554
643.428,0.106,1.058,1.553
643.771,0.107,1.065,1.552
644.114,0.107,1.072,1.551
644.457,0.107,1.079,1.551
644.8,0.107,1.087,1.55
645.143,0.107,1.095,1.549
645.486,0.106,1.104,1.548
645.828,0.106,1.113,1.547
646.171,0.106,1.122,1.546
646.514,0.106,1.131,1.545
646.856,0.106,1.141,1.544
647.199,0.106,1.151,1.543
647.541,0.106,1.162,1.542
647.884,0.106,1.172,1.541
648.226,0.106,1.184,1.539
648.569,0.106,1.195,1.538
648.911,0.106,1.207,1.536
649.253,0.106,1.219,1.535
649.596,0.106,1.231,1.533
649.938,0.106,1.244,1.531
650.28,0.106,1.257,1.53
650.622,0.106,1.27,1.528
650.964,0.106,1.284,1.526
651.306,0.106,1.298,1.523
651.648,0.106,1.311,1.521
651.99,0.106,1.325,1.519
652.332,0.106,1.34,1.516
652.673,0.106,1.354,1.514
653.015,0.106,1.369,1.511
653.357,0.105,1.384,1.508
653.698,0.105,1.399,1.505
654.04,0.105,1.414,1.501
654.382,0.105,1.43,1.498
654.723,0.105,1.445,1.495
655.065,0.105,1.461,1.491
